1 North_Korea 104.6 2,640,000 25,244,000
2 Eritrea 93.0 451,000 4,847,000
3 Burundi 40.0 408,000 10,199,000
4 Central_African_Republic 22.3 101,000 4,546,000
5 Afghanistan 22.2 749,000 33,736,000
6 Mauritania 21.4 90,000 4,182,000
7 South Sudan 20.5 243,000 11,882,000
8 Pakistan 16.8 3,186,000 189,381,000
9 Cambodia 16.8 261,000 15,518,000
10 Iran16.2 1,289,000 79,360,000
11 Somalia 15.5 216,000 13,908,000
12 Congo 13.7 1,045,000 76,197,000
13 Mongolia 12.3 37,000 2,977,000
14 Sudan 12.0 465,000 38,648,000
15 Chad 12.0 168,000 14,009,000
16 Rwanda 11.6 134,000 11,630,000
17 Turkmenistan 11.2 62,000 5,565,000
18 Myanmar 11.0 575,000 52,404,000
19 Brunei_Darussalam 10.9 5,000 418,000
20 Belarus 10.9 103,000 9,486,000
21 Papua_New_Guinea 10.3 81,000 7,920,000
22 Lao 9.4 62,000 6,664,000
23 Thailand 8.9 610,000 68,658,000
24 Swaziland 8.8 12,000 1,319,000
25 Macedonia8.7 18,000 2,079,000
26 Congo 8.0 40,000 4,996,000
27 Greece 7.9 89,000 11,218,000
28 Guinea 7.8 94,000 12,092,000
29 Libya 7.7 48,000 6,235,000
30 Philippines 7.7 784,000 101,716,000
31 Timor-Leste 7.7 10,000 1,241,000
32 Nigeria 7.7 1,386,000 181,182,000
33 Uganda 7.6 304,000 40,145,000
34 Madagascar 7.5 182,000 24,234,000
35 Malawi 7.5 131,000 17,574,000
36 Guinea-Bissau 7.5 13,000 1,771,000
37 Liberia 7.4 33,000 4,500,000
38 Syrian_Arab_Republic 7.3 136,000 18,735,000
39 Angola 7.2 199,000 27,859,000
40 Djibouti 7.1 7,000 927,000
41 Kenya 6.9 328,000 47,236,000
42 Malaysia 6.9 212,000 30,723,000
43 Albania 6.9 20,000 2,923,000
44 Cameroon 6.9 157,000 22,835,000
45 Togo 6.8 50,000 7,417,000
46 Niger 6.7 133,000 19,897,000
47 Zimbabwe 6.7 105,000 15,777,000
48 Turkey 6.5 509,000 78,271,000
49 Ukraine 6.4 286,000 44,658,000
50 Equatorial_Guinea 6.4 7,000 1,175,000
51 Tanzania 6.2 336,000 53,880,000
52 Ethiopia 6.1 614,000 99,873,000
53 India 6.1 7,989,000 1,309,054,000
54 Croatia 6.0 25,000 4,236,000
55 Nepal 6.0 171,000 28,656,000
56 Côte_d'Ivoire 5.9 137,000 23,108,000
57 Montenegro 5.9 4,000 628,000
58 Gambia 5.8 11,000 1,978,000
59 Lithuania 5.8 17,000 2,932,000
60 Zambia 5.7 92,000 16,101,000
61 Venezuela 5.6 174,000 31,155,000
62 Haiti 5.6 59,000 10,711,000
63 Egypt 5.5 518,000 93,778,000
64 Russia 5.5 794,000 143,888,000
65 Moldova 5.5 22,000 4,066,000
66 Benin 5.5 58,000 10,576,000
67 Mozambique 5.4 152,000 28,011,000
68 Armenia 5.3 16,000 2,917,000
69 Uzbekistan 5.2 160,000 30,976,000
70 Sierra_Leone 5.0 36,000 7,237,000
71 Ghana 4.8 133,000 27,583,000
72 Iraq 4.8 174,000 36,116,000
73 Gabon 4.8 9,000 1,930,000
74 Indonesia 4.7 1,220,000 258,162,000
75 Tajikistan 4.5 39,000 8,549,000
76 Burkina Faso 4.5 82,000 18,111,000
77 Vietnam 4.5 421,000 93,572,000
78 Bulgaria 4.5 32,000 7,177,000
79 Azerbaijan 4.5 43,000 9,617,000
80 Georgia 4.3 17,000 3,952,000
81 Romania 4.3 86,000 19,877,000
82 Cyprus 4.2 5,000 1,161,000
83 Kazakhstan 4.2 75,000 17,750,000
84 Lesotho 4.2 9,000 2,175,000
85 Kyrgyzstan 4.1 24,000 5,865,000
86 Cape_Verde 4.1 2,000 533,000
87 Dominican_Republic 4.0 42,000 10,528,000
88 Kosovo 4.0 8,000 1,905,000
89 Latvia 3.9 8,000 1,993,000
90 Israel 3.9 31,000 8,065,000
91 Cuba 3.8 43,000 11,461,000
92 Bangladesh 3.7 592,000 161,201,000
93 Hungary 3.7 36,000 9,784,000
94 Estonia 3.6 5,000 1,315,000
95 Mali 3.6 62,000 17,468,000
96 Botswana 3.4 8,000 2,209,000
97 Singapore 3.4 19,000 5,535,000
98 Bosnia_and_Herzegovina 3.4 12,000 3,536,000
99 Honduras 3.4 30,000 8,961,000
100 Poland 3.4 128,000 38,265,000
101 Serbia 3.3 30,000 8,851,000
102 Namibia 3.3 8,000 2,426,000
103 Yemen 3.1 85,000 26,916,000
104 Trinidad_and_Tobago 3.0 4,000 1,360,000
105 Slovakia 2.9 16,000 5,439,000
106 Guatemala 2.9 47,000 16,252,000
107 Nicaragua 2.9 18,000 6,082,000
108 Czech_Republic 2.9 31,000 10,604,000
109 Senegal 2.9 43,000 14,977,000
110 South_Africa 2.8 155,000 55,291,000
111 China 2.8 3,864,000 1,397,029,000
112 Barbados 2.7 <1,000 284,000
113 Colombia 2.7 131,000 48,229,000
114 Mexico 2.7 341,000 125,891,000
115 Algeria 2.7 106,000 39,872,000
116 Guyana 2.6 2,000 769,000
117 Jamaica 2.6 7,000 2,872,000
118 Peru 2.6 80,000 31,377,000
119 El_Salvador 2.5 16,000 6,312,000
120 Portugal 2.5 26,000 10,418,000
121 Morocco 2.4 85,000 34,803,000
122 Italy 2.4 145,000 59,504,000
123 Ecuador 2.4 39,000 16,144,000
124 Spain 2.3 105,000 46,398,000
125 Suriname 2.3 1,000 553,000
126 Tunisia 2.2 25,000 11,274,000
127 Slovenia 2.2 5,000 2,075,000
128 Oman 2.1 9,000 4,200,000
129 Bolivia 2.1 23,000 10,725,000
130 Sri_Lanka 2.1 44,000 20,714,000
131 Iceland 2.1 <1,000 330,000
132 United_Kingdom 2.1 136,000 65,397,000
133 Panama 2.1 8,000 3,969,000
134 Germany 2.0 167,000 81,708,000
135 Belgium 2.0 23,000 11,288,000
136 France 2.0 129,000 64,457,000
137 South_Korea 1.9 99,000 50,594,000
138 Saudi_Arabia 1.9 61,000 31,557,000
139 Bahrain 1.9 3,000 1,372,000
140 Norway 1.8 9,000 5,200,000
141 Jordan 1.8 17,000 9,159,000
142 Brazil 1.8 369,000 205,962,000
143 Netherlands 1.8 30,000 16,938,000
144 Austria 1.7 15,000 8,679,000
145 Lebanon 1.7 10,000 5,851,000
146 Switzerland 1.7 14,000 8,320,000
147 Ireland 1.7 8,000 4,700,000
148 United_Arab_Emirates 1.7 15,000 9,154,000
149 Finland 1.7 9,000 5,482,000
150 Denmark 1.6 9,000 5,689,000
151 Paraguay 1.6 11,000 6,639,000
152 Sweden 1.6 15,000 9,764,000
153 Qatar 1.5 4,000 2,482,000
154 Luxembourg 1.5 <1,000 567,000
155 Kuwait 1.5 6,000 3,936,000
156 Hong Kong 1.4 10,000 7,246,000
157 Argentina 1.3 55,000 43,418,000
158 United_States 1.3 403,000 319,929,000
159 Costa_Rica 1.3 6,000 4,808,000
160 Uruguay 1.0 4,000 3,432,000
161 Mauritius 1.0 1,000 1,259,000
162 Chile 0.8 14,000 17,763,000
163 Australia 0.6 15,000 23,800,000
164 New_Zealand 0.6 3,000 4,615,000
165 Taiwan 0.5 12,000 23,486,000
166 Canada 0.5 17,000 35,950,000
167 Japan 0.3 37,000 127,975,000
